Title,Author,Date_Published,URL,CC_License,Audience,Material_Type,Media_Format,Topic,Notes,Keywords_Metadata
iBiology,iBiology,2020,https://www.ibiology.org/,CC BY-NC-ND 3.0,Student,Video,mp4,Biology,,Biology
Portal of Geriatrics Online Education,Association of Directors of Geriatric Academic Programs,2004,https://pogoe.org/,NA,Student,"Video, Images, Interactive Module",website,Geriatrics,,"Gerontology, Geriatrics"
Radiation Emergency Medical Management,U.S. Department of Health and Human Services,2020,https://www.remm.nlm.gov/imagegallery_videoall.htm,Public Domain,Student,Video,mp4,Emergency Medical Management,,"Emergency Medical Management, Radiation, Contamination, Decontamination"
The Chem Collective,National Science Digital Library,NA,http://www.chemcollective.org/,CC BY-NC-ND 3.0,"Student, Educator","Interactive Module, Virtual Lab",website,Chemistry,,"Chemistry, Stoichiometry, Thermochemistry, Kinetics, Equilibrium, Acid-Base, Solubility, Oxidation, Reduction, Electrochemistry, Analytical, Physical, Properties of Solutions"
Health Check Tools: Medline Plus,U.S. National Library of Medicine,2020,https://medlineplus.gov/healthchecktools.html,Public Domain,"Student, Patient",Interactive Module ,website,Healthcare,,"Health Tools, Questionnaire, health screen"
Virtual Cell Animation Collection,"McClean, Phillip; Johnson, Christina",NA,http://vcell.ndsu.nodak.edu/animations/,CC BY-NC-ND 4.0,Student,Animation,website,Biology,login required to download animations,"Biology, Molecular Processes, Cellular Processes, Cellular Energy"
LGBTQIA+ Cultural Competency for Clinicians,"Thompson, Holly; Schilperoort, Hannah",2021,https://usc.libwizard.com/f/LGBTQculturalcompetencyclinicians,CC BY-NC,Clinician,Interactive Module,website,LGBTQIA+,,"Clinicians, LGBTQIA+, Cultural Competency"
LGBTQIA+ Cultural Competency for Clinicians,"Thompson, Holly; Schilperoort, Hannah",2021,https://usc.libwizard.com/f/LGBTQculturalcompetencyclinicians,CC BY-NC,Clinician,Interactive Module,website,LGBTQIA+,,"Clinicians, LGBTQIA+, Cultural Competency"
Acid-Base Physiology,"Brandis, Kerry",2020,https://med.libretexts.org/Bookshelves/Anatomy_and_Physiology/Book%3A_Acid-base_Physiology_(Brandis),CC BY-NC-SA 4.0 ,"Clinician, Student",Book,"PDF, ebook",Healthcare,,"Clinicians, Renal, Acid-Base, Physioloogy, Blood Gas"
Aging Well,"Galiana, Jean; Haseltine, William A.",2019,https://library.oapen.org/handle/20.500.12657/23190,CC BY,"Clinician, Student",Book,PDF,Geriatrics,,"Clinicians, Geriatric, Gerontology, Aging, Palliative treatment, social work, geriatric nursing"
Bedside Procedures,"Cismaru, Gabriel",2018,https://www.intechopen.com/books/bedside-procedures,CC BY,"Clinician, Student",Book,PDF,Intensive Care,must provide email address to download,"Emergency Medicine, Bedside prcedures, clinicians"
Cardiac Diseases and Interventions in 21st Century,"Karcioglu, Ozgur",2019,https://www.intechopen.com/books/cardiac-diseases-and-interventions-in-21st-century,CC BY,"Student, Clinician",Book,PDF,Cardiology,must provide email address to download,"Cardiology, Clinicians, Nursing, Medicine, Paramedics, Cardiac Diseases"
Cardiac Surgery Procedures,"Montalto, Andrea; Loforte, Antonio; Amarelli, Cristiano",2020,https://www.intechopen.com/books/cardiac-surgery-procedures,CC BY,"Student, Clinician",Book,PDF,Cardiology,must provide email address to download,"Cardiology, Clinicians, Medicine,  Cardiac Surgery"
Computational Cognitive Neuroscience,O'Reilly; Munakata,2020,https://med.libretexts.org/Bookshelves/Pharmacology_and_Neuroscience/Book%3A_Computational_Cognitive_Neuroscience_(O'Reilly_and_Munakata),CC BY-SA,"Student, Educator",Book,"PDF, ebook",Neuroscience,many hyperlinks to further explore concepts covered in the text,"Undergraduate, Graduate, Neuroscience, Computational, Brain"
Differential Diagnosis of Chest Pain,"Lakshmanadoss, Umashankar",2020,https://www.intechopen.com/books/differential-diagnosis-of-chest-pain,CC BY ,Clinician,Book,PDF,Cardiology,must provide email address to download,"Chest Pain, Diagnosis, Cardiology, Medicine"
